model,provider,context,quality,price,speed,latency,scraped_at
"Claude Opus 5 (Adaptive Reasoning, Max Effort)",Anthropic,1m,63.05,20.0,51.018953974931,32.0102983265,2026-08-11
"Claude Opus 5 (Adaptive Reasoning, Xhigh Effort)",Anthropic,1m,62.52,20.0,49.3968237925652,18.8313573575,2026-08-11
"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",Anthropic,1m,62.07,40.0,59.1915269492899,55.283101617,2026-08-11
"Claude Opus 5 (Adaptive Reasoning, High Effort)",Anthropic,1m,61.48,20.0,48.8548720327235,11.2957684825,2026-08-11
GPT-5.6 Sol (max),OpenAI,262k,60.93,23.75,66.0716846358076,58.17675071,2026-08-11
Kimi K3 (max),Kimi,1m,59.7,12.0,40.3323971479444,2.1834981115,2026-08-11
GPT-5.6 Sol (xhigh),OpenAI,1m,59.01,23.75,61.4237747887262,23.8574761545,2026-08-11
"Claude Opus 5 (Adaptive Reasoning, Medium Effort)",Anthropic,1m,58.64,20.0,47.9717788095517,7.5182641545,2026-08-11
Qwen3.8 Max,Alibaba,1m,58.08,5.0,78.0829457820113,1.94878856899999,2026-08-11
GPT-5.6 Sol (high),OpenAI,1m,57.33,23.75,56.9914328980883,12.2432529575,2026-08-11
GPT-5.6 Terra (max),OpenAI,1m,56.58,9.5,120.558765835556,104.337329229,2026-08-11
Grok 4.5 (high),SpaceXAI,500k,55.76,5.0,48.5154289065235,12.144106903,2026-08-11
GPT-5.6 Sol (medium),OpenAI,1m,55.57,23.75,52.6894921657887,5.252503451,2026-08-11
"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)",Anthropic,1m,55.26,8.0,81.6389111661234,93.798655606,2026-08-11
GPT-5.6 Terra (xhigh),OpenAI,1m,52.77,9.5,107.025536216685,11.731125865,2026-08-11
GLM-5.2 (max),Z AI,205k,52.64,1.9874999999999998,71.5473685835092,0.675564153500006,2026-08-11
"Claude Opus 5 (Adaptive Reasoning, Low Effort)",Anthropic,1m,52.46,20.0,48.8769827032673,3.55284972899997,2026-08-11
GPT-5.6 Luna (max),OpenAI,1m,52.32,0.95,159.538984943303,57.4536689485001,2026-08-11
"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",DeepSeek,1m,51.77,0.1575,60.8441443786098,0.537617408499997,2026-08-11
Gemini 3.6 Flash (high),Google,1m,51.58,6.0,191.405519409265,14.2849657785,2026-08-11
GPT-5.6 Sol (low),OpenAI,1m,50.73,23.75,56.2082034036037,2.655811499,2026-08-11
GPT-5.6 Terra (high),OpenAI,1m,50.11,9.5,102.736188844613,2.60993976499998,2026-08-11
GPT-5.6 Luna (xhigh),OpenAI,1m,50.06,0.95,160.848543885706,28.901499641,2026-08-11
Kimi K3 (low),Kimi,1m,48.25,12.0,38.8136022853722,2.297327672,2026-08-11
Gemini 3.1 Pro Preview,Google,1m,47.74,9.5,124.763905921621,23.257928351,2026-08-11
GPT-5.6 Luna (high),OpenAI,1m,46.96,0.95,155.698466515033,8.40228090750003,2026-08-11
GPT-5.6 Terra (medium),OpenAI,1m,46.76,9.5,106.585627603069,1.787249552,2026-08-11
Gemini 3.5 Flash (medium),Google,1m,46.67,7.125,264.507343051814,10.2840490215,2026-08-11
GPT-5.3 Codex (xhigh),OpenAI,400k,45.51,10.9375,127.229859758235,39.5351591335,2026-08-11
MiniMax-M3,MiniMax,1m,45.4,0.7775,269.45501011937,0.879712661500001,2026-08-11
"DeepSeek V4 Pro (Reasoning, Max Effort)",DeepSeek,1m,45.27,0.76125,62.2110168999217,1.2703758965,2026-08-11
